article_url,title,date,publication_type,status,source_file,duplicate_of
https://www.transportenvironment.org/articles/blue-threat-can-eu-hydrogen-policy-stay-green,Blue threat: will the EU's hydrogen policy stay green?,2025-09-23T08:00:00,Briefing,included,blue-threat-will-the-eu-s-hydrogen-policy-stay-green.md,
https://www.transportenvironment.org/articles/carbon-leakage-in-the-aviation-sector-is-it-a-problem-and-if-so-what-can-be-done-to-address-it,Carbon leakage in the aviation sector: Is it a problem and if so what can be done to address it?,2025-10-06T00:00:00,Briefing,included,carbon-leakage-in-the-aviation-sector-is-it-a-problem-and-if-so-what-can-be-done.md,
https://www.transportenvironment.org/articles/leaked-car-industry-paper-carmakers-eu-demands-would-cut-ev-sales-in-half,Leaked car industry paper: carmakers' EU demands would cut EV sales in half,2025-10-08T14:12:00,Press release,included,leaked-car-industry-paper-carmakers-eu-demands-would-cut-ev-sales-in-half.md,
https://www.transportenvironment.org/articles/crop30-why-burning-food-for-land-hungry-biofuels-is-fueling-the-climate-crisis,CrOP30: Why burning food for land-hungry biofuels is fuelling the climate crisis,2025-10-09T00:01:00,Report,included,crop30-why-burning-food-for-land-hungry-biofuels-is-fuelling-the-climate-crisis.md,
https://www.transportenvironment.org/articles/green-shipping-fuel-producers-call-on-imo-to-seize-once-in-a-generation-opportunity,Green shipping fuel producers call on IMO to seize 'once-in-a-generation' opportunity,2025-10-13T05:00:00,Letter,included,green-shipping-fuel-producers-call-on-imo-to-seize-once-in-a-generation-opportun.md,
https://www.transportenvironment.org/articles/us-led-pressure-on-shipping-deal-an-attack-on-eu-sovereignty-says-t-e,"US-led pressure on shipping deal an attack on EU sovereignty, says T&E",2025-10-16T17:52:00,Press release,included,us-led-pressure-on-shipping-deal-an-attack-on-eu-sovereignty-says-t-e.md,
https://www.transportenvironment.org/articles/us-intimidation-leaves-future-of-shipping-uncertain-but-appetite-for-green-future-remains,US intimidation leaves future of shipping uncertain but appetite for green future remains,2025-10-17T16:44:00,Press release,included,us-intimidation-leaves-future-of-shipping-uncertain-but-appetite-for-green-futur.md,
https://www.transportenvironment.org/articles/brazils-sustainable-fuels-pledge-is-dangerously-ambitious-and-risks-repeating-mistakes-of-the-past,Brazil's sustainable fuels pledge is dangerously ambitious and risks repeating mistakes of the past,2025-10-22T14:21:00,Op-ed,included,brazil-s-sustainable-fuels-pledge-is-dangerously-ambitious-and-risks-repeating-m.md,
https://www.transportenvironment.org/articles/airlines-blame-taxes-fees-and-charges-the-data-says-otherwise,"Airlines blame taxes, fees and charges: The data says otherwise",2025-10-29T00:00:00,Report,included,airlines-blame-taxes-fees-and-charges-the-data-says-otherwise.md,
https://www.transportenvironment.org/articles/excessive-fossil-fuel-profits-should-be-taxed-and-given-back-to-citizens,Excessive fossil fuel profits should be taxed and given back to citizens,2025-10-30T00:30:00,Report,included,excessive-fossil-fuel-profits-should-be-taxed-and-given-back-to-citizens.md,
https://www.transportenvironment.org/articles/scientist_letter_biofuels,Scientists call on global leaders to limit crop biofuels ahead of COP30,2025-11-05T00:01:00,Press release,included,scientists-call-on-global-leaders-to-limit-crop-biofuels-ahead-of-cop30.md,
https://www.transportenvironment.org/articles/eu-transport-plan-sets-out-first-steps-to-boost-green-fuel-production-for-planes-and-ships,EU transport plan sets out first steps to boost green fuel production for planes and ships,2025-11-05T12:39:00,Press release,included,eu-transport-plan-sets-out-first-steps-to-boost-green-fuel-production-for-planes.md,
